"S No","Product Name","SKU","Variation","Meesho PID","Category","Qty","Order Number","Suborder Number","Dispatch Date","Return Created Date","Type of Return","Sub Type","Expected Delivery Date","Courier Partner","AWB Number","Status","Attempt","Tracking Link","Return Price Type","Return Reason","Detailed Return Reason"
"1","CuteEase Girls’ Clothing Set – Stylish Girls Combo Set | Kids Apparel Combo | Girls Top and Bottom Outfit Set | Baby Girl Dress Combo","girl_methi_flower_c1","7-8 Years",,"Clothing Set","1","209926533862685186","209926533862685186_1","2025-10-16","2025-10-25","Courier Return (RTO)","forward_RTO","2025-11-30","PocketShip","VL0082520698681","Delivering Today","1","https://www.valmo.in/track/VL0082520698681",,"NA","NA"
"2","GameOn Boys’ Top & Bottom Set","boy_run_green_c1","11-12 Years",,"Clothing Set","2","211169327161362816","211169327161362816_1","2025-10-20","2025-10-25","Customer Return","FIRST_RET","2025-11-19","Valmo","VLR081417780958","Delivering Today","1","https://meesho.portal.shipsy.io/track/result?refNum=VLR081417780958&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"3","CuteEase Girls’ Clothing Set – Stylish Girls Combo Set | Kids Apparel Combo | Girls Top and Bottom Outfit Set | Baby Girl Dress Combo","girl_methi_flower_c1","11-12 Years",,"Clothing Set","1","211424368497607296","211424368497607296_1","2025-10-20","2025-10-25","Courier Return (RTO)","forward_RTO","2025-12-04","PocketShip","VL0082556216636","Delivering Today","1","https://www.valmo.in/track/VL0082556216636",,"NA","NA"
"4","CuteEase Girls’ Clothing Set – Stylish Girls Combo Set | Kids Apparel Combo | Girls Top and Bottom Outfit Set | Baby Girl Dress Combo","girl_methi_flower_c1","14-15 Years",,"Clothing Set","1","210378409526823296","210378409526823296_1","2025-10-18","2025-10-24","Courier Return (RTO)","forward_RTO","2025-12-02","PocketShip","VL0082540001403","Delivering Today","1","https://www.valmo.in/track/VL0082540001403",,"NA","NA"
"5","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","11-12 Years",,"Clothing Set","1","211122825443122624","211122825443122624_1","2025-10-20","2025-10-24","Courier Return (RTO)","forward_RTO","2025-12-04","PocketShip","VL0082556216129","Delivering Today","1","https://www.valmo.in/track/VL0082556216129",,"NA","NA"
"6","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","13-14 Years",,"Clothing Set","1","209348289233089856","209348289233089856_1","2025-10-15","2025-10-24","Customer Return","FIRST_RET","2025-11-18","Valmo","VLR081414459704","Delivering Today","1","https://meesho.portal.shipsy.io/track/result?refNum=VLR081414459704&searchBy=referenceNumber","Meesho Price","Have size / fit related issues","Size correct but too tight"
"7","UrbanBeat Boys’ Outfit Set","boy_run_yellow_c1","13-14 Years",,"Clothing Set","1","211397840934095232","211397840934095232_1","2025-10-20","2025-10-24","Customer Return","FIRST_RET","2025-11-18","Valmo","VLR081407713893","Delivering Today","1","https://meesho.portal.shipsy.io/track/result?refNum=VLR081407713893&searchBy=referenceNumber","Meesho Price","Have size / fit related issues","Did not like the fit"
"8","GameOn Boys’ Top & Bottom Set","boy_run_green_c1","10-11 Years",,"Clothing Set","1","209616629917681600","209616629917681600_1","2025-10-16","2025-10-24","Courier Return (RTO)","forward_RTO","2025-11-30","PocketShip","VL0082520698386","Delivering Today","1","https://www.valmo.in/track/VL0082520698386",,"NA","NA"
"9","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","14-15 Years",,"Clothing Set","1","210430812990141760","210430812990141760_1","2025-10-18","2025-10-24","Courier Return (RTO)","forward_RTO","2025-12-02","PocketShip","VL0082540001098","Delivering Today","1","https://www.valmo.in/track/VL0082540001098",,"NA","NA"
"10","Little Champ Stylish Top & Pants","boy_nice_white_brown_c2","9-10 Years",,"Clothing Set","1","210241083398505088","210241083398505088_1","2025-10-17","2025-10-23","Courier Return (RTO)","forward_RTO","2025-12-01","PocketShip","VL0082530943733","Delivering Today","1","https://www.valmo.in/track/VL0082530943733",,"NA","NA"
