"S No","Product Name","SKU","Variation","Meesho PID","Category","Qty","Order Number","Suborder Number","Dispatch Date","Return Created Date","Type of Return","Sub Type","Expected Delivery Date","Courier Partner","AWB Number","Status","Attempt","Tracking Link","Return Price Type","Return Reason","Detailed Return Reason"
"1","UrbanBeat Boys’ Outfit Set","boy_run_yellow_c1","12-13 Years",,"Clothing Set","1","212435433008218752","212435433008218752_1","2025-10-24","2025-10-26","Courier Return (RTO)","forward_RTO","2025-12-08","PocketShip","VL0082584470911","Delivering Today","1","https://www.valmo.in/track/VL0082584470911",,"NA","NA"
"2","TrendMax Boys’ Clothing Set","boy_run_blue_c1","12-13 Years",,"Clothing Set","1","212435689147598784","212435689147598784_1","2025-10-24","2025-10-26","Courier Return (RTO)","forward_RTO","2025-12-08","PocketShip","VL0082584470911","Delivering Today","1","https://www.valmo.in/track/VL0082584470911",,"NA","NA"
"3","UrbanBeat Boys’ Outfit Set","boy_run_yellow_c1","6-7 Years",,"Clothing Set","1","211090996347304448","211090996347304448_1","2025-10-20","2025-10-25","Courier Return (RTO)","forward_RTO","2025-12-04","PocketShip","VL0082556216150","Delivering Today","1","https://www.valmo.in/track/VL0082556216150",,"NA","NA"
"4","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","14-15 Years",,"Clothing Set","1","211450403718563776","211450403718563776_1","2025-10-21","2025-10-25","Courier Return (RTO)","forward_RTO","2025-12-05","PocketShip","VL0082566913194","Delivering Today","1","https://www.valmo.in/track/VL0082566913194",,"NA","NA"
"5","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","8-9 Years",,"Clothing Set","1","211373853426032128","211373853426032128_1","2025-10-21","2025-10-25","Courier Return (RTO)","forward_RTO","2025-12-05","PocketShip","VL0082556216060","Delivering Today","1","https://www.valmo.in/track/VL0082556216060",,"NA","NA"
"6","TrendMax Boys’ Clothing Set","boy_run_blue_c1","8-9 Years",,"Clothing Set","1","209267918708541824","209267918708541824_1","2025-10-15","2025-10-25","Courier Return (RTO)","forward_RTO","2025-11-29","PocketShip","VL0082511053052","Delivering Today","1","https://www.valmo.in/track/VL0082511053052",,"NA","NA"
"7","UrbanBeat Boys’ Outfit Set","boy_run_marron_c1","1-2 Years",,"Clothing Set","2","209350619767637952","209350619767637952_1","2025-10-15","2025-10-25","Customer Return","FIRST_RET","2025-11-19","Valmo","VLR081416227439","Delivering Today","1","https://meesho.portal.shipsy.io/track/result?refNum=VLR081416227439&searchBy=referenceNumber","Meesho Price","Received incomplete product (missing quantity / accessory)","Received less number of pieces than ordered"
"8","UrbanBeat Boys’ Outfit Set","boy_run_yellow_c1","9-10 Years",,"Clothing Set","1","210922753864843904","210922753864843904_1","2025-10-19","2025-10-25","Courier Return (RTO)","forward_RTO","2025-12-03","PocketShip","VL0082550780025","Delivering Today","1","https://www.valmo.in/track/VL0082550780025",,"NA","NA"
"9","UrbanBeat Boys’ Outfit Set","boy_run_yellow_c1","9-10 Years",,"Clothing Set","1","210071362138775040","210071362138775040_1","2025-10-17","2025-10-24","Courier Return (RTO)","forward_RTO","2025-12-01","PocketShip","VL0082530944408","Delivering Today","1","https://www.valmo.in/track/VL0082530944408",,"NA","NA"
"10","CuteEase Girls’ Clothing Set – Stylish Girls Combo Set | Kids Apparel Combo | Girls Top and Bottom Outfit Set | Baby Girl Dress Combo","girl_methi_flower_c1","12-13 Years",,"Clothing Set","1","211370740980677120","211370740980677120_1","2025-10-20","2025-10-24","Courier Return (RTO)","forward_RTO","2025-12-04","PocketShip","VL0082556216642","Delivering Today","1","https://www.valmo.in/track/VL0082556216642",,"NA","NA"
